"lstd_iii","lstn_iii","lstd_ii","lstn_ii","lstd_i","lstn_i","ppt_i","ppt_ii","ppt_iii","estagio","variedade","solo","espac","tch"
297.596217669654,289.93467032967,306.789983903421,292.570384615385,297.43379342723,288.34467032967,222.4,727.1,204.5,5,"SP801842","LP","1,4",76.71
297.617296418826,289.60064738292,306.249049665579,292.385257772531,298.908673189242,287.811329201102,222.4,727.1,204.5,5,"SP801842","LP","1,4",76.72
297.272687711383,289.328279069415,306.54810437805,292.414648117035,298.294658977157,287.913279069415,222.4,729.3,202.3,5,"SP801842","LP","1,4",69.47
297.089836107554,289.42111752888,306.781134808853,291.900662983425,299.085896713615,286.792026619789,211.6,733.1,188.4,5,"others","LP","1,4",67.92
297.268805476865,288.836460055096,306.075805476865,291.718126721763,299.113138810198,287.999641873278,211.6,733.1,188.4,5,"RB845210","LP","1,4",69.48
296.870993124523,288.457520661157,305.406535646517,292.041391628899,298.854629488159,288.34479338843,223.3,730,201.6,5,"RB966928","LP","1,4",95.49
297.24925320141,288.801055507359,305.322058675506,292.314818948219,298.302586534743,288.628328234632,223.3,730,201.6,5,"RB966928","LP","1,4",44.24
297.141775356996,289.173150426921,304.468989433242,292.679895294956,297.165411720632,289.011332245103,232.7,728,215.9,5,"RB966928","LP","1,4",57.25
297.141775356996,289.173150426921,304.468989433242,292.679895294956,297.165411720632,289.011332245103,232.7,728,215.9,5,"SP801842","LP","1,4",55.53
296.844630838774,286.345721480735,303.374327808471,293.372734467748,309.180994475138,290.069357844372,262.2,558.8,144.4,5,"others","LP","1,4",55.42
297.708017925736,286.34111752888,303.089563380282,293.337662983425,308.812563380282,290.817329650092,256.5,558.8,144.4,5,"RB867515","LP","1,4",55.43
296.354513692162,287.743619575254,305.683976057754,291.990823876329,298.761847025496,287.323316544951,211.6,785.5,146.2,5,"RB867515","LP","1,4",76.48
296.265400236145,287.974475830453,305.367497010338,292.31303765841,298.071538212225,287.90148340621,223.3,791.8,151,5,"RB867515","LP","1,4",76.48
296.083085202475,288.009809754338,305.478398822547,292.277023015987,297.596109734986,287.979026926055,211.6,785.5,146.2,5,"RB867515","LP","1,4",76.5
302.097033752156,291.162010243278,299.466124661247,291.020405965203,311.372791327913,294.591909233177,393.1,405.1,298.4,4,"RB867515","LP","1,4",44.9
304.339871794872,291.767514124294,298.40264957265,290.454736346516,311.665174825175,294.250514124294,332.5,481.8,231.6,4,"RB867515","LP","1,4",63.06
303.874922797457,291.512943661972,303.854165221699,291.175618080576,299.309922797457,287.987943661972,263.3,1128.1,231.6,3,"RB867515","LP","1,4",63.06
303.930357167718,291.385819523269,304.008295170327,291.034832156817,299.545725092528,287.807902856603,263.3,1128.1,231.6,3,"RB867515","LP","1,4",63.07
302.560152740341,290.96353219697,298.099319407008,290.515198863636,312.276819407008,294.065198863636,393.1,434.3,269.3,4,"RB867515","LP","1,4",55.78
305.884429097606,292.180861742424,304.30487354205,290.973480790043,298.054429097606,288.277528409091,278.5,1191.2,268.7,3,"RB867515","LP","1,4",61.81
305.44652854512,292.095486307838,303.897861878453,290.985334792686,298.90652854512,287.955486307838,278.5,1191.2,268.7,3,"RB867515","LP","1,4",61.83
303.360110192837,292.153526912181,303.105224577794,290.893971356626,299.725619834711,288.019890548545,263.3,1128.2,264.4,3,"RB867515","LP","1,4",61.82
303.464220515219,292.468403865711,302.757502683494,291.387922800022,297.91735182835,287.825171542478,262,1189,295.7,3,"RB966928","LP","1,4",42.47
298.454003382239,290.88844048217,306.621478129713,292.624337016575,297.635367018602,287.997670349908,235,628.7,313,3,"RB855453","LP","1,4",65.83
297.728763535633,288.151212121212,305.579915050785,292.976325757576,298.316036262906,287.978484848485,317,1022.2,236.9,4,"SP813250","R","1,4",35.89
